"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price,PE_Ratio,Industry_PE,Last_Quarter_Profit,Last_Year_Same_Quarter_Profit
"KPITTECH.NS, Long, 2026-02-04 (Price: 981.9)",No Exit Yet,"-2.39%, 2 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 958.4), 2.39% below",2 days,8.72%/2.64%/5.24%,"7.55%, 7.55%",24 days/1 day/9 days,2026-03-10/2026-02-05/2026-02-17,30.89%,35.14%,-4.25%,1.03,1.55,1089.7126/1033.3516/1061.53/1924.85/2233.9378/3556.3685/1226.26,No Recent Minima/628.775/911.5071/599.3236/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),976.2,36.496574,20.0,1333040000.0,1869700000.0
"THYROCARE.NS, Long, 2026-02-04 (Price: 393.1)",No Exit Yet,"3.19%, 2 days","72.73%, Past 4 years, 11","Daily, was CONFIRMED on 2026-02-04",Already confirmed,"2026-02-06 (Price: 405.65), 3.19% above",2 days,10.72%/3.9%/7.19%,"11.8%, 15.05%",2.1 months/4 days/17 days,2026-05-06/2026-02-09/2026-02-28,8.76%,5.03%,3.73%,0.23,0.28,401.5517/421.3639/411.46/483.3333/497.5299/525.1587/406.43,389.95/170.0666/377.0973/329.6079/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),385.0,46.519493,20.0,290100000.0,191100000.0
"ABCAPITAL.NS, Long, 2026-02-03 (Price: 333.05)",2026-02-04 (Price: 345.7),"3.8%, 1 day","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 347.75), 4.41% above",3 days,10.52%/3.48%/5.0%,"12.91%, 16.33%",1.2 month/3 days/14 days,2026-03-27/2026-02-07/2026-02-23,8.47%,21.11%,-12.64%,0.23,1.03,370.618/349.7025/360.16/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,329.2/97.0667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/292.23,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),348.0,26.185995,20.0,9450200000.0,10009000000.0
"APOLLOTYRE.NS, Long, 2026-02-03 (Price: 483.05)",2026-02-04 (Price: 510.4),"5.66%, 1 day","81.82%, Past 4 years, 11","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 504.2), 4.38% above",3 days,7.0%/3.2%/4.5%,"7.34%, 7.91%",1 month/2 days/9 days,2026-03-18/2026-02-05/2026-02-16,11.31%,14.68%,-3.37%,0.57,0.75,526.7177/504.7872/515.75/561.67/642.1391/711.2772/484.38,465.55/166.175/445.342/427.1891/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),491.0,34.487003,20.0,4705180000.0,3372450000.0
"NAUKRI.NS, Long, 2026-02-03 (Price: 1250.7)",2026-02-06 (Price: 1130.4) (Today),"-9.62%, 3 days","92.31%, Past 4 years, 13","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 1130.4), 9.62% below",3 days,13.47%/3.4%/6.04%,"12.03%, 13.55%",1.5 month/1 day/11 days,2026-04-09/2026-02-04/2026-02-18,20.26%,2.71%,17.55%,0.84,0.17,1380.1474/1326.2423/1353.19/1483.595/2035.8289/2223.4618/1380.31,1237.3/662.12/1095.4447/920.5126/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1265.0,55.547913,20.0,3163950000.0,232590000.0
"PHOENIXLTD.NS, Long, 2026-02-03 (Price: 1679.4)",2026-02-06 (Price: 1735.2) (Today),"3.32%, 3 days","75.0%, Past 4 years, 4","Daily, was CONFIRMED on 2026-02-03",Already confirmed,"2026-02-06 (Price: 1735.2), 3.32% above",3 days,9.0%/5.62%/7.3%,"10.84%, 15.32%",11 days/10 days/10 days,2026-02-18/2026-02-17/2026-02-17,17.31%,23.98%,-6.67%,0.3,1.13,1842.6377/1801.9962/1822.32/1875.775/1960.6714/2089.0277/No EMA 200 Target,1631.5/443.4875/1472.0383/1297.8896/No F-Track Level/No F-Track Level/1636.57,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),1666.0,56.817284,20.0,2757906000.0,2180977000.0
"KOTAKBANK.NS, Long, 2026-02-02 (Price: 408.2)",2026-02-06 (Price: 422.35) (Today),"3.47%, 4 days","87.5%, Past 4 years, 8","Daily, was CONFIRMED on 2026-02-02",Already confirmed,"2026-02-06 (Price: 422.35), 3.47% above",4 days,5.69%/1.46%/3.23%,"4.28%, 9.22%",1.6 month/7 days/25 days,2026-04-12/2026-02-12/2026-03-10,8.06%,1.27%,6.79%,0.71,0.01,430.202/421.3849/425.79/453.18/508.6984/633.047/420.29,408.0/332.4656/403.1982/321.2773/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),408.7,22.322939,20.0,49242900000.0,47010200000.0
"BERGEPAINT.NS, Long, 2026-02-01 (Price: 462.85)",2026-02-04 (Price: 477.65),"3.2%, 3 days","81.25%, Past 4 years, 16","Daily, was CONFIRMED on 2026-02-01",Already confirmed,"2026-02-06 (Price: 472.4), 2.06% above",5 days,5.88%/2.11%/4.01%,"11.73%, 11.73%",1.2 month/2 days/10 days,2026-03-25/2026-02-03/2026-02-15,9.18%,-3.77%,12.95%,0.27,-0.29,477.0595/481.4103/479.23/714.625/729.6775/879.0009/546.09,No Recent Minima/438.6806/409.9573/341.5704/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),461.9,52.3725,20.0,2711600000.0,2696600000.0
"BLS.NS, Long, 2026-01-30 (Price: 257.45)",2026-02-04 (Price: 290.05),"12.66%, 5 days","85.71%, Past 4 years, 7","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 292.4), 13.58% above",7 days,15.95%/4.42%/7.09%,"13.21%, 16.43%",16 days/2 days/7 days,2026-02-22/2026-02-01/2026-02-09,25.81%,38.56%,-12.75%,0.51,1.54,284.714/275.7032/280.21/422.2833/585.8057/702.0407/346.45,254.75/151.825/252.9445/185.1091/No F-Track Level/No F-Track Level/No EMA 200 Support,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),252.0,18.731583,20.0,1752291000.0,1382329000.0
"MARUTI.NS, Long, 2026-01-30 (Price: 14599.0)",2026-02-04 (Price: 15135.0),"3.67%, 5 days","70.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-01-30",Already confirmed,"2026-02-06 (Price: 14997.0), 2.73% above",7 days,5.6%/1.44%/3.23%,"9.28%, 9.28%",19 days/2 days/8 days,2026-02-26/2026-02-01/2026-02-10,4.88%,10.18%,-5.3%,0.06,0.59,15187.3397/15070.5477/15128.94/No Horizontal Resistance/18533.4923/23703.9615/No EMA 200 Target,14502.0/6509.1833/13092.2423/10454.8956/No F-Track Level/No F-Track Level/14475.41,90.14%/71/10 days (Across ALL Assets),72.94%/1105/16 days (Across ALL Assets),14502.0,31.546066,20.0,38791000000.0,31025000000.0
